phylum,phylum_latin,taxon,taxon_latin,note
硅藻门,Bacillariophyta,桥弯藻属,Cymbella sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,梅尼小环藻,Cyclotella meneghiniana,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,椭圆双壁藻,Diploneis elliptica,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,直链藻属,Melosira sp. / Aulacoseira sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,眼斑小环藻,Cyclotella ocellata,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,端毛双菱藻,Surirella cf. tenera,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,箱形桥弯藻属,Cymbella cistula,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,线形双菱藻,Surirella linearis,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,美丽星杆藻,Asterionella formosa,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,肋缝藻属,Pinnularia sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,膨胀桥弯藻,Cymbella tumida,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,舟形藻属,Navicula sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,草鞋形波缘藻,Cymatopleura solea,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,谷皮菱形藻,Nitzschia palea,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,针杆藻属,Synedra sp. / Ulnaria sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,钝脆杆藻,Fragilaria cf. obtusa,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,锯形短缝藻,Eunotia pectinalis,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,颗粒直连藻,Aulacoseira granulata / Melosira granulata,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,颗粒直连藻最窄变种,Aulacoseira granulata var. angustissima,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,丰富栅藻原变种,Scenedesmus abundans var. abundans,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,二形栅藻,Scenedesmus dimorphus,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,二角盘星藻纤细变种,Pediastrum boryanum var. longicorne,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,具尾四角藻,Tetraedron caudatum / Tetraëdron caudatum,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,单角盘星藻,Pediastrum simplex,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,单角盘星藻具孔变种,Pediastrum simplex var. duodenarium,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,单角盘星藻粒刺变种,Pediastrum simplex var. echinulatum,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,卵囊藻属,Oocystis sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,叉星鼓藻,Staurastrum cf. furcatum,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,双对栅藻,Scenedesmus bijuga,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,双射盘星藻,Pediastrum duplex,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,四刺顶极藻,Tetraedron caudatum / Tetraëdron caudatum,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,四尾栅藻,Scenedesmus quadricauda,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,四角十字藻,Crucigenia quadrata,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,四角盘星藻,Pediastrum tetras,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,四足十字藻,Crucigenia tetrapedia,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,多棘鼓藻,Cosmarium cf. multispinosum,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,多芒藻属,Golenkinia sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,实球藻属,Pandorina sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,小球藻属,Chlorella sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,小空星藻,Coelastrum microporum,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,平顶顶接鼓藻,Cosmarium cf. depressum,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,弯曲栅藻,Scenedesmus arcuatus,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,拟新月藻属,Monoraphidium sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,新月藻属,Closterium sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,月牙藻属,Selenastrum sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,栅藻属,Scenedesmus sp. / Desmodesmus sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,浮球藻属,Planktosphaeria sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,盘星藻属,Pediastrum sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,盘藻属,Gonium sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,纤细角星鼓藻,Staurastrum gracile,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,纤维藻属,Elakatothrix sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,纺锤藻属,Ankistrodesmus sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,网状空星藻,Coelastrum reticulatum,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,胶囊藻属,Gloeocystis sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,胶网藻属,Dictyosphaerium sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,衣藻属,Chlamydomonas sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,裂孔栅藻,Scenedesmus perforatus,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,角星鼓藻属,Staurastrum sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,转板藻属,Mougeotia sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,集星藻属,Actinastrum sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,顶极藻属,Tetraedron sp. / Tetraëdron sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,顶锥十字藻,Crucigenia apiculata,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,鼓藻属,Cosmarium sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,齿牙栅藻,Scenedesmus denticulatus,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
绿藻门,Chlorophyta,龙骨栅藻,Scenedesmus carinatus,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
蓝藻门,Cyanobacteria (Cyanophyta),优美平裂藻,Merismopedia elegans,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
蓝藻门,Cyanobacteria (Cyanophyta),伪鱼腥藻属,Pseudanabaena sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
蓝藻门,Cyanobacteria (Cyanophyta),卷曲鱼腥藻,Dolichospermum circinale / Anabaena circinalis,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
蓝藻门,Cyanobacteria (Cyanophyta),平裂藻属,Merismopedia sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
蓝藻门,Cyanobacteria (Cyanophyta),微囊藻属,Microcystis sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
蓝藻门,Cyanobacteria (Cyanophyta),惠氏微囊藻,Microcystis wesenbergii,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
蓝藻门,Cyanobacteria (Cyanophyta),束丝藻属,Aphanizomenon sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
蓝藻门,Cyanobacteria (Cyanophyta),棒胶藻属,Gomphosphaeria sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
蓝藻门,Cyanobacteria (Cyanophyta),点形平裂藻,Merismopedia punctata,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
蓝藻门,Cyanobacteria (Cyanophyta),色球藻属,Chroococcus sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
蓝藻门,Cyanobacteria (Cyanophyta),螺旋藻属,Spirulina sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
蓝藻门,Cyanobacteria (Cyanophyta),颤藻属,Oscillatoria sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
蓝藻门,Cyanobacteria (Cyanophyta),鱼腥藻属,Anabaena sp. / Dolichospermum sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
裸藻门,Euglenophyta,囊裸藻属,Trachelomonas sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
裸藻门,Euglenophyta,扁裸藻属,Phacus sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
裸藻门,Euglenophyta,裸藻属,Euglena sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
金藻门,Chrysophyta,锥囊藻属,Dinobryon sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
金藻门,Chrysophyta,鱼鳞藻属,Mallomonas sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
金藻门,Chrysophyta,黄群藻属,Synura sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
隐藻门,Cryptophyta,蓝隐藻属,Chroomonas sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
隐藻门,Cryptophyta,隐藻属,Cryptomonas sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
